"Orders","Orders"
"Bakerloo REST","Bakerloo REST"
"POS","POS"
"Login","Login"
"Create","Create"
"Cancel","Cancel"
"Credit Note","Credit Note"
"Cart","Cart"
"Modify price","Modify price"
"Customers","Customers"
"List","List"
"Orders Awaiting Payment","Orders Awaiting Payment"
"Orders On Hold","Orders On Hold"
"New Order","New Order"
"ORDERS","ORDERS"
"SETTINGS","SETTINGS"
"SETTINGS","SETTINGS"
"Clear Image Cache","Clear Image Cache"
"Synchronize","Synchronize"
"Change Activation Key","Change Activation Key"
"Edit Discount","Edit Discount"
"New Discount","New Discount"
"ID","ID"
"Discount Desc","Discount Desc"
"Discount Max","Discount Max"
"Discount Type","Discount Type"
"Store View","Store View"
"Created At","Created At"
"Updated At","Updated At"
"Action","Action"
"Delete","Delete"
"If set to Yes, devices will only get customers from specific WebsiteId and Admin, not from every website.","If set to Yes, devices will only get customers from specific WebsiteId and Admin, not from every website."
"Are you sure?","Are you sure?"
"Discount Information","Discount Information"
"Discount data","Discount data"
"Discount information","Discount information"
"General data","General data"
"Discount Max.","Discount Max."
"Discount Type","Discount Type"
"Discount Description","Discount Description"
"Store View","Store View"
"Try Again","Try Again"
"Edit Order","Edit Order"
"New Order","New Order"
"Order #","Order #"
"Device Order #","Device Order #"
"Device","Device"
"Remote IP","Remote IP"
"Total","Total"
"User","User"
"Super User","Super User"
"CSV","CSV"
"Order Information","Order Information"
"Order information","Order information"
"Order data","Order data"
"Admin username","Admin username"
"JSON post data","JSON post data"
"JSON request Headers","JSON request Headers"
"User Agent","User Agent"
"Url","Url"
"Magento Order #","Magento Order #"
"Magento Increment #","Magento Increment #"
"Device Order #","Device Order #"
"Device ID","Device ID"
"Filter customer results by Website","Filter customer results by Website"
"Error Message","Error Message"
"Error message when trying to save order in Magento, if present.","Error message when trying to save order in Magento, if present."
"Admin username override","Admin username override"
"Version not supported. You asked for v%s, I have v%s.","Version not supported. You asked for v%s, I have v%s."
"POS category images cache cleared.","POS category images cache cleared."
"Cache dir could not be removed.","Cache dir could not be removed."
"This item no longer exists.","This item no longer exists."
"Editing discount #%s","Editing discount #%s"
"The discount has been deleted.","The discount has been deleted."
"The discount has been saved.","The discount has been saved."
"This order is already processed.","This order is already processed."
"Could not process order, please try again. Response: %s","Could not process order, please try again. Response: %s"
"Order created correctly #%s","Order created correctly #%s"
"Flush POS category images cache","Flush POS category images cache"
"Page #%s not found.","Page #%s not found."
"Coupon code `%s` is not valid.","Coupon code `%s` is not valid."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Inavalid Credit Memo.","Inavalid Credit Memo."
"Discounts","Discounts"
"Are you sure? This will try to create a new order in Magento.","Are you sure? This will try to create a new order in Magento."
"Customer already exists.","Customer already exists."
"Customer does not exist.","Customer does not exist."
"POS order number #%s failed.","POS order number #%s failed."
"Configuration","Configuration"
