"Popular Questions","Popular Questions"
"FAQ","FAQ"
"No FAQ entries available.","No FAQ entries available."
"Categories","Categories"
"No categories available.","No categories available."
"FAQ Page Configuration","FAQ Page Configuration"
"General","General"
"Enable FAQ Page","Enable FAQ Page"
"Add FAQ link to Top Links","Add FAQ link to Top Links"
"FAQ Page","FAQ Page"
"Manage FAQ Questions","Manage FAQ Questions"
"Manage FAQ Categories","Manage FAQ Categories"
"FAQ Question not exist","FAQ Question not exist"
"FAQ Question was successfully saved","FAQ Question was successfully saved"
"Unable to find item to save","Unable to find item to save"
"FAQ Question was successfully deleted","FAQ Question was successfully deleted"
"Please select questions","Please select questions"
"FAQ Category not exist","FAQ Category not exist"
"FAQ Category was successfully saved","FAQ Category was successfully saved"
"FAQ Category was successfully deleted","FAQ Category was successfully deleted"
"Please select categories","Please select categories"
"Add FAQ Question","Add FAQ Question"
"Edit FAQ Question","Edit FAQ Question"
"Add FAQ Category","Add FAQ Category"
"Edit FAQ Category","Edit FAQ Category"
"ID","ID"
"Category","Category"
"Question Title","Question Title"
"Answer","Answer"
"Status","Status"
"Question Enabled","Question Enabled"
"Question Popular","Question Popular"
"Is Popular","Is Popular"
"Sort Order","Sort Order"
"Save FAQ Question","Save FAQ Question"
"Save FAQ Category","Save FAQ Category"
"Delete FAQ Question","Delete FAQ Question"
"Delete FAQ Category","Delete FAQ Category"
"FAQ Question Information","FAQ Question Information"
"FAQ Category Information","FAQ Category Information"
